i_idx	j_idx	xij
1503	64	14.916666666666668
1503	138	12.083333333333332
1503	18	66.88333333333334
1503	15	35.68333333333333
1503	260	6.55
1503	147	2.95
1503	23	29.71666666666665
1503	140	10.35
1503	384	3.7833333333333337
1503	314	5.316666666666667
1503	385	7.116666666666666
1503	888	3.5
1503	646	0.4
1503	885	0.25
1503	651	0.5
1503	485	1.7333333333333332
1503	261	7.216666666666667
1503	148	10.783333333333333
1503	127	7.216666666666666
1503	889	1.2
1503	386	7.3500000000000005
1503	890	3.5
1503	3	276.39999999999975
1503	1	317.8166666666653
1503	77	14.899999999999999
1503	89	15.683333333333334
1503	200	9.55
1503	315	7.15
1503	891	2.5
1503	149	10.033333333333333
1503	486	3.1666666666666665
1503	176	9.166666666666668
1503	112	9.666666666666664
1503	128	8.183333333333334
1503	652	0.25
1503	653	3.7833333333333337
1503	233	4.400000000000001
1503	90	11.916666666666668
1503	234	5.066666666666666
1503	654	1.3333333333333333
1503	892	2.0
1503	893	1.5
1503	894	1.0666666666666667
1503	488	4.866666666666667
1503	62	15.3
1503	895	1.5333333333333332
1503	37	34.94999999999999
1503	655	3.7333333333333334
1503	71	16.5
1503	11	108.5166666666667
1503	489	6.166666666666667
1503	55	39.61666666666668
1503	6	215.54999999999984
1503	24	34.04999999999999
1503	896	1.5833333333333333
1503	129	12.916666666666666
1503	897	1.2833333333333332
1503	898	1.0333333333333332
1503	383	1.7333333333333332
1503	899	1.5
1503	656	3.333333333333333
1503	657	2.7666666666666666
1503	658	3.1
1503	44	33.24999999999999
1503	40	31.899999999999988
1503	5	193.43333333333334
1503	10	117.78333333333333
1503	202	8.883333333333333
1503	22	31.616666666666646
1503	491	3.15
1503	900	0.2
1503	647	0.9
1503	26	45.21666666666669
1503	901	4.033333333333333
1503	902	2.6166666666666667
1503	659	4.1
1503	36	30.88333333333332
1503	130	9.700000000000001
1503	387	2.466666666666667
1503	492	2.283333333333333
1503	201	4.466666666666667
1503	42	27.399999999999988
1503	235	12.45
1503	151	16.28333333333333
1503	177	8.399999999999999
1503	388	3.2
1503	660	1.35
1503	78	24.25
1503	493	6.516666666666667
1503	203	10.383333333333333
1503	236	13.700000000000001
1503	903	2.0
1503	33	31.28333333333332
1503	150	5.016666666666667
1503	316	3.866666666666667
1503	29	36.73333333333331
1503	661	3.333333333333333
1503	904	1.0833333333333333
1503	905	0.7
1503	662	1.4833333333333334
1503	663	2.783333333333333
1503	906	4.366666666666667
1503	237	17.116666666666664
1503	164	19.73333333333333
1503	178	12.383333333333335
1503	113	21.216666666666665
1503	494	2.3166666666666664
1503	664	0.45
1503	389	3.5166666666666666
1503	72	6.116666666666668
1503	56	15.483333333333334
1503	665	3.0833333333333335
1503	390	1.4
1503	391	1.5999999999999999
1503	165	10.35
1503	238	4.199999999999999
1503	179	4.566666666666666
1503	392	6.183333333333334
1503	909	5.116666666666666
1503	666	0.8333333333333333
1503	667	0.5833333333333333
1503	495	2.2833333333333337
1503	239	11.533333333333333
1503	912	1.25
1503	669	1.2833333333333332
1503	393	2.283333333333333
1503	394	3.4666666666666672
1503	913	2.533333333333333
1503	152	7.749999999999999
1503	914	4.566666666666666
1503	915	0.7
1503	916	0.7333333333333334
1503	114	8.166666666666666
1503	240	3.783333333333333
1503	917	2.533333333333333
1503	51	41.866666666666674
1503	79	15.633333333333335
1503	45	28.049999999999986
1503	105	10.9
1503	395	3.516666666666667
1503	262	7.466666666666667
1503	80	18.28333333333333
1503	153	5.933333333333333
1503	204	5.783333333333334
1503	154	5.366666666666667
1503	918	1.0
1503	59	14.7
1503	670	0.7333333333333334
1503	396	3.7833333333333337
1503	919	0.6666666666666666
1503	671	2.533333333333333
1503	920	2.75
1503	31	21.283333333333328
1503	263	2.9833333333333334
1503	97	26.883333333333326
1503	70	13.749999999999998
1503	50	26.766666666666655
1503	921	4.233333333333333
1503	672	3.65
1503	98	21.499999999999993
1503	922	2.2333333333333334
1503	106	8.316666666666666
1503	496	6.266666666666667
1503	397	6.7
1503	180	13.533333333333335
1503	923	2.033333333333333
1503	924	1.5999999999999999
1503	925	2.15
1503	264	3.7333333333333334
1503	13	51.28333333333337
1503	497	4.75
1503	155	16.333333333333332
1503	926	2.083333333333333
1503	46	36.96666666666666
1503	319	11.983333333333333
1503	398	3.1500000000000004
1503	320	9.399999999999999
1503	20	52.31666666666669
1503	107	12.616666666666662
1503	673	3.45
1503	53	18.583333333333332
1503	910	0.5333333333333333
1503	47	30.61666666666665
1503	498	2.0
1503	499	5.433333333333334
1503	399	7.366666666666666
1503	500	3.033333333333333
1503	205	4.633333333333334
1503	38	27.04999999999999
1503	19	60.81666666666671
1503	674	3.066666666666667
1503	927	2.583333333333333
1503	181	11.15
1503	99	12.983333333333333
1503	241	5.866666666666667
1503	400	1.5333333333333332
1503	930	1.6666666666666665
1503	931	0.5
1503	265	15.349999999999998
1503	321	8.983333333333333
1503	266	11.916666666666664
1503	401	5.933333333333334
1503	68	14.05
1503	322	5.083333333333333
1503	183	12.566666666666666
1503	115	11.183333333333332
1503	267	5.4833333333333325
1503	501	2.783333333333333
1503	932	0.5
1503	675	1.7
1503	184	7.616666666666666
1503	676	2.2333333333333334
1503	502	2.1333333333333333
1503	206	9.799999999999999
1503	503	4.183333333333334
1503	108	12.499999999999998
1503	677	3.2
1503	934	0.7
1503	268	4.716666666666667
1503	935	0.7333333333333334
1503	208	6.1499999999999995
1503	936	1.0
1503	109	9.733333333333333
1503	116	11.249999999999998
1503	25	53.80000000000004
1503	182	4.966666666666667
1503	678	1.2833333333333332
1503	937	1.5
1503	21	44.08333333333336
1503	209	9.883333333333333
1503	938	1.5666666666666664
1503	210	9.216666666666667
1503	679	3.8333333333333335
1503	269	7.766666666666666
1503	131	11.799999999999999
1503	939	1.95
1503	48	24.88333333333333
1503	185	5.983333333333333
1503	66	33.23333333333333
1503	680	2.15
1503	940	1.45
1503	211	4.716666666666668
1503	402	4.333333333333333
1503	681	3.9166666666666665
1503	941	3.4833333333333334
1503	73	10.466666666666667
1503	942	1.9999999999999998
1503	943	2.583333333333333
1503	34	45.13333333333335
1503	944	1.45
1503	504	2.8333333333333335
1503	324	7.483333333333333
1503	682	4.616666666666666
1503	945	1.7
1503	946	4.033333333333333
1503	43	25.916666666666654
1503	403	1.2333333333333334
1503	683	1.9499999999999997
1503	156	11.2
1503	17	55.600000000000044
1503	684	3.2333333333333334
1503	325	4.233333333333333
1503	685	0.2
1503	686	0.3333333333333333
1503	947	0.5
1503	948	0.7
1503	949	0.7
1503	687	4.183333333333334
1503	950	1.3666666666666665
1503	951	3.2333333333333334
1503	688	3.3666666666666667
1503	952	1.5333333333333332
1503	213	4.716666666666668
1503	953	0.7
1503	689	2.7
1503	27	59.26666666666671
1503	506	5.016666666666667
1503	690	3.2
1503	954	2.7
1503	405	4.300000000000001
1503	327	7.7
1503	955	2.333333333333333
1503	507	4.9
1503	508	3.533333333333333
1503	404	2.9333333333333336
1503	91	21.53333333333333
1503	958	0.4
1503	270	3.4833333333333334
1503	691	2.9833333333333334
1503	166	12.133333333333331
1503	959	2.5
1503	509	4.683333333333334
1503	199	10.966666666666665
1503	648	1.9166666666666665
1503	510	6.833333333333333
1503	328	3.5500000000000003
1503	960	0.7833333333333333
1503	961	1.5
1503	911	0.2
1503	956	0.45
1503	962	2.283333333333333
1503	963	5.8999999999999995
1503	964	2.45
1503	928	2.0
1503	132	10.716666666666667
1503	117	7.916666666666666
1503	692	4.066666666666666
1503	271	4.483333333333333
1503	406	3.716666666666667
1503	187	4.8
1503	693	5.833333333333333
1503	694	2.35
1503	695	2.9833333333333334
1503	696	3.216666666666667
1503	511	4.65
1503	329	4.166666666666666
1503	272	3.85
1503	965	4.066666666666666
1503	966	1.2833333333333332
1503	512	3.833333333333334
1503	967	0.45
1503	968	2.0
1503	407	1.7833333333333332
1503	697	1.2
1503	513	4.366666666666667
1503	214	7.3999999999999995
1503	969	1.7333333333333332
1503	514	2.4
1503	69	12.08333333333333
1503	970	2.4
1503	330	4.166666666666666
1503	515	1.6166666666666665
1503	82	30.06666666666666
1503	332	4.433333333333333
1503	973	0.25
1503	974	0.3333333333333333
1503	408	4.7
1503	273	6.266666666666667
1503	516	5.366666666666666
1503	141	15.200000000000001
1503	333	5.566666666666666
1503	975	0.7
1503	215	6.066666666666666
1503	698	1.7
1503	699	2.5
1503	976	2.0
1503	274	5.783333333333333
1503	67	17.799999999999997
1503	74	15.116666666666665
1503	409	4.483333333333333
1503	242	9.466666666666667
1503	410	7.483333333333333
1503	39	50.216666666666676
1503	243	6.683333333333334
1503	335	2.033333333333333
1503	411	1.5666666666666664
1503	701	3.2833333333333337
1503	217	14.816666666666668
1503	518	4.449999999999999
1503	702	0.8500000000000001
1503	412	2.2333333333333334
1503	244	3.3833333333333337
1503	703	2.15
1503	88	6.550000000000001
1503	119	11.583333333333336
1503	977	2.95
1503	519	4.4333333333333345
1503	520	5.433333333333334
1503	413	3.333333333333333
1503	92	13.333333333333334
1503	979	0.65
1503	414	2.3166666666666664
1503	981	3.25
1503	245	10.916666666666668
1503	982	1.7833333333333332
1503	188	15.000000000000004
1503	415	6.316666666666667
1503	168	9.8
1503	337	5.8500000000000005
1503	521	3.4333333333333336
1503	517	2.1666666666666665
1503	338	7.3999999999999995
1503	157	12.133333333333333
1503	52	14.149999999999997
1503	277	5.6000000000000005
1503	189	8.783333333333331
1503	416	3.8000000000000007
1503	218	7.433333333333334
1503	706	2.5
1503	339	3.466666666666667
1503	65	6.633333333333334
1503	246	3.4
1503	707	1.9166666666666665
1503	984	3.45
1503	523	3.033333333333333
1503	708	1.3166666666666667
1503	524	0.95
1503	525	1.7833333333333332
1503	526	2.6166666666666663
1503	417	2.3999999999999995
1503	418	4.666666666666667
1503	527	6.233333333333333
1503	419	3.8000000000000007
1503	528	3.2333333333333334
1503	709	2.933333333333333
1503	93	25.79999999999999
1503	142	13.683333333333334
1503	420	7.4
1503	985	1.2
1503	986	0.75
1503	207	5.85
1503	118	8.0
1503	340	4.983333333333333
1503	219	9.23333333333333
1503	32	29.616666666666653
1503	81	13.699999999999998
1503	220	8.366666666666667
1503	987	0.75
1503	988	1.8666666666666665
1503	989	3.5333333333333337
1503	711	3.9833333333333334
1503	990	1.0833333333333333
1503	991	2.5
1503	221	10.700000000000001
1503	190	4.333333333333334
1503	992	2.316666666666667
1503	712	4.033333333333333
1503	993	0.8666666666666667
1503	222	13.73333333333333
1503	421	5.6000000000000005
1503	275	4.483333333333334
1503	710	0.9833333333333332
1503	994	2.4166666666666665
1503	995	3.95
1503	713	1.0333333333333332
1503	996	1.9499999999999997
1503	997	4.25
1503	223	8.466666666666667
1503	247	9.133333333333331
1503	423	6.8
1503	999	0.5333333333333333
1503	649	0.8666666666666667
1503	650	1.45
1503	158	12.750000000000002
1503	1000	1.65
1503	530	3.066666666666667
1503	531	2.9833333333333334
1503	1001	2.4
1503	167	5.65
1503	120	6.683333333333334
1503	1002	1.5666666666666667
1503	100	15.749999999999996
1503	532	3.316666666666667
1503	714	4.583333333333333
1503	121	13.98333333333333
1503	1003	1.4833333333333334
1503	424	3.1833333333333336
1503	83	10.899999999999999
1503	1004	3.283333333333333
1503	534	7.949999999999999
1503	715	2.15
1503	1006	2.9
1503	1007	4.116666666666667
1503	487	4.4
1503	716	1.6833333333333333
1503	425	2.333333333333333
1503	535	3.45
1503	536	2.3666666666666667
1503	537	2.5166666666666666
1503	1009	3.2
1503	1010	2.5
1503	718	2.8666666666666667
1503	538	3.1166666666666667
1503	719	2.8333333333333335
1503	539	4.516666666666667
1503	427	4.583333333333334
1503	1011	4.583333333333334
1503	541	3.2
1503	1012	3.033333333333333
1503	721	3.716666666666667
1503	122	9.133333333333333
1503	428	1.9833333333333332
1503	1013	1.8666666666666665
1503	1014	2.4166666666666665
1503	722	1.9166666666666665
1503	342	6.266666666666667
1503	1015	0.45
1503	1016	0.3333333333333333
1503	1017	2.0
1503	1018	1.0333333333333332
1503	95	16.01666666666667
1503	725	4.9
1503	224	6.083333333333334
1503	60	7.033333333333334
1503	57	5.3833333333333355
1503	85	8.716666666666667
1503	30	28.283333333333324
1503	546	2.2
1503	1019	1.9166666666666665
1503	998	1.45
1503	169	7.533333333333334
1503	281	2.4166666666666665
1503	547	2.5833333333333335
1503	727	1.3333333333333333
1503	548	4.9
1503	549	3.6999999999999997
1503	58	21.416666666666664
1503	1021	2.9000000000000004
1503	1022	2.7
1503	728	2.7833333333333337
1503	343	5.433333333333334
1503	1023	0.75
1503	1024	2.5166666666666666
1503	139	5.733333333333333
1503	1025	2.6166666666666667
1503	84	5.0
1503	729	2.533333333333333
1503	1026	3.6166666666666667
1503	1027	3.7833333333333337
1503	490	2.533333333333333
1503	345	6.416666666666667
1503	550	3.1
1503	429	6.383333333333333
1503	191	3.6000000000000005
1503	1028	1.2
1503	551	2.3666666666666667
1503	282	7.883333333333333
1503	552	6.983333333333333
1503	1029	3.3666666666666667
1503	1030	3.4
1503	730	3.316666666666667
1503	553	3.7833333333333337
1503	731	4.75
1503	732	1.1666666666666665
1503	733	1.8666666666666665
1503	1031	1.4833333333333332
1503	554	6.333333333333333
1503	734	4.783333333333333
1503	1032	3.95
1503	555	3.1333333333333333
1503	1033	0.5833333333333333
1503	484	2.1
1503	1035	0.5833333333333333
1503	556	4.733333333333334
1503	1036	2.7333333333333334
1503	735	3.1833333333333336
1503	336	2.283333333333333
1503	1037	0.4
1503	1038	0.25
1503	123	7.416666666666667
1503	736	1.5
1503	737	1.25
1503	248	6.116666666666666
1503	540	1.8666666666666665
1503	738	4.283333333333333
1503	346	9.399999999999999
1503	1039	3.4166666666666665
1503	557	3.616666666666667
1503	331	2.85
1503	739	4.7
1503	740	4.95
1503	1040	2.5
1503	741	3.2
1503	430	4.683333333333334
1503	717	1.65
1503	347	5.6000000000000005
1503	431	3.4000000000000004
1503	432	7.866666666666665
1503	558	7.949999999999999
1503	1041	2.9833333333333334
1503	1042	1.65
1503	1043	2.033333333333333
1503	1044	0.3333333333333333
1503	720	1.15
1503	559	6.033333333333333
1503	742	2.4833333333333334
1503	560	2.6
1503	743	7.8500000000000005
1503	744	1.2
1503	745	1.0666666666666667
1503	746	4.583333333333333
1503	1045	2.733333333333334
1503	1046	4.116666666666666
1503	249	12.199999999999998
1503	1047	1.7833333333333332
1503	561	2.2
1503	1048	0.25
1503	433	4.483333333333333
1503	1049	1.4166666666666665
1503	747	3.8666666666666663
1503	348	6.566666666666666
1503	1050	5.2666666666666675
1503	250	4.783333333333333
1503	564	4.7
1503	1051	0.7333333333333334
1503	283	5.300000000000001
1503	1052	1.6666666666666665
1503	748	4.216666666666668
1503	251	4.8500000000000005
1503	159	5.8500000000000005
1503	1053	3.1166666666666667
1503	1054	3.583333333333333
1503	341	7.066666666666666
1503	1055	1.7333333333333332
1503	426	4.783333333333333
1503	565	5.6
1503	1056	0.8666666666666667
1503	1057	1.5333333333333332
1503	749	5.0166666666666675
1503	1058	2.316666666666667
1503	1059	3.5
1503	170	8.183333333333334
1503	192	8.6
1503	284	3.516666666666667
1503	349	3.5833333333333335
1503	124	9.633333333333333
1503	171	11.816666666666666
1503	978	1.5833333333333333
1503	566	3.85
1503	434	6.516666666666667
1503	1061	0.5333333333333333
1503	279	0.45
1503	280	0.6000000000000001
1503	567	1.45
1503	1062	1.0
1503	193	12.666666666666666
1503	285	4.733333333333333
1503	350	3.1500000000000004
1503	225	6.616666666666666
1503	1063	1.2
1503	435	1.7333333333333332
1503	436	4.7333333333333325
1503	1064	3.1166666666666667
1503	1065	2.25
1503	1067	2.583333333333333
1503	94	9.133333333333335
1503	570	2.75
1503	437	5.116666666666667
1503	351	5.1
1503	750	2.9000000000000004
1503	751	4.1
1503	1068	4.7
1503	86	25.899999999999995
1503	252	7.0
1503	1066	0.8333333333333333
1503	1069	1.7333333333333332
1503	194	8.316666666666666
1503	1070	3.5
1503	571	1.6666666666666665
1503	1071	1.7833333333333332
1503	562	2.033333333333333
1503	438	6.05
1503	226	7.6833333333333345
1503	573	5.566666666666667
1503	543	1.7833333333333332
1503	352	2.15
1503	1073	1.8333333333333333
1503	1074	1.8333333333333333
1503	172	9.416666666666668
1503	1075	0.7833333333333333
1503	1076	0.9166666666666666
1503	133	9.416666666666664
1503	353	8.016666666666666
1503	752	3.7333333333333334
1503	1077	3.1833333333333336
1503	228	7.566666666666666
1503	1078	2.8666666666666667
1503	354	8.816666666666666
1503	1079	3.3666666666666663
1503	355	10.083333333333332
1503	753	3.25
1503	1080	3.4500000000000006
1503	754	2.95
1503	1082	2.75
1503	318	0.8333333333333333
1503	1083	3.7833333333333337
1503	356	2.4333333333333336
1503	755	3.5333333333333337
1503	1084	2.7333333333333334
1503	439	5.516666666666667
1503	1085	1.0833333333333333
1503	533	0.8999999999999999
1503	756	3.6166666666666667
1503	574	3.316666666666667
1503	1086	1.5
1503	757	1.2833333333333332
1503	758	1.45
1503	575	2.283333333333333
1503	440	2.8166666666666664
1503	759	2.4499999999999997
1503	441	8.616666666666667
