hashtag,frequency
#BlackHistoryMonth,167
#FY16NDAA,167
#MerryChristmas,166
#SubOversight,166
#STL,166
#Assad,166
#OH2,166
#SASC,165
#POWMIARecognitionDay,164
#NSA,163
#Budget,163
#PurpleHeartDay,163
#SignTheBill,163
#House,163
#TeamRenacci,163
#PASenate,163
#VAMISSIONAct,162
#Christmas,162
#IL14,162
#BadIranDeal,161
#BuildTheWall,161
#Mississippi,161
#cha,161
#GITMO,160
#2,160
#trainwreck,159
#Remembering41,159
#broadband,159
#Putin,159
#VA07,159
#OpenGaetz,159
#nc03,158
#FL18,158
#Chattanooga,157
#tax,157
#laflood,157
#TeamWalters,157
#FBI,156
#ESSA,156
#America,156
#NetNeutrality,156
#DHS,156
#Taxreform,156
#religiousliberty,155
#TCOT,155
#HSGAC,155
#OH10,155
#EndSlaveryAct,155
#TakeBackDay,154
#MusicModernizationAct,154
#OpioidCrisisResponse,154
#SBA,154
#utgop,154
#DidYouKnow,152
#HHS,152
#betteroffnow,152
#FL,152
#Colorado,152
#PresidentsDay,151
#FLKeys,151
#SubCMT,151
#scpol,151
#TN03,150
#HappyThanksgiving,149
#texas,149
#Fargo,149
#Inauguration,148
#Immigration,148
#Kentucky,148
#GOTV,148
#HouseAg,147
#HolocaustRemembranceDay,147
#Iowa,147
#FullRepeal,147
#VA09,147
#WeRemember,145
#NoBudgetNoPay,145
#2ndAmendment,144
#twill,144
#CFPB,144
#MedicareAdvantage,144
#Education,143
#DefundObamacare,143
#IIOA,143
#freedom,142
#PopeInDC,141
#DOJ,141
#GA03,141
#CO06,141
#Utah,140
#SFL,139
#HR1179,139
#UAS,138
#StPatricksDay,137
#NC13,137
#consciencerights,137
#LWCF,136
#ISIL,136
#LNG,136
#Rio2016,135
#VAAccountability,135
#neverforget,134
#gagop,134
#HumanTrafficking,133
#NASA,133
#nationaldebt,133
#PaSenate,133
#job,132
#whywemarch,132
#mentalhealth,132
#omnibus,132
#religiousfreedom,131
#TPA4USjobs,131
#OpportunityZones,131
#AMBR,131
#MN06,131
#TPP,130
#OpeningDay,130
#Charlottesville,130
#CA39,130
#KXL,130
#TaxReformWorks,129
#TownHall,129
#RNCinCLE,129
#Saints,129
#GA14YLS,129
#IRSscandal,128
#WarOnCoal,128
#SecDef,127
#HonorFlight,127
#SanctuaryCities,127
#American,127
#enditmovement,127
#NationalParkWeek,126
#NC07,126
#SC07,126
#Medicaid,125
#townhall,125
#GLRI,125
#WATCH,125
#ut04,125
#AgDay,124
#FL25,124
#NICAAct,124
#innovation,123
#Wisconsin,123
#CHOICEact,123
#CuresIn4Words,123
#TN,123
#ABetterWay,122
#CuresAct,122
#GoDawgs,122
#KidsFirst,122
#OK2,122
#CentreCounty,122
#Inauguration2017,121
#GreatestGeneration,120
#StandWithIsrael,120
#AuditTheFed,120
#BorderSecurity,120
#NLRB,120
#PureMichigan,120
#PennState,120
#AZ06,120
#NPS100,119
#IranTalks,119
#Miami,119
#ReligiousFreedom,119
#OK,119
#ProvoRocks,119
#nebraska,119
#AUMF,118
#ALpolitics,118
#Teletownhall,118
#FirstStepAct,117
#RFS,117
#Hoosier,117
#4thofJuly,116
#ArmyBDay,116
#Olympics,116
#ElectionDay,116
#transportation,116
#Washington,116
#DFW,116
#ABLE,115
#DDHH,115
#al06,115
#WI06,115
#AR,115
#NY24,115
#tx11,115
#ConfirmGorsuch,114
#FlaPol,114
#TX10,114
#AZSen,114
#ForeverGIBill,113
#taxes,113
#HR36,112
#business,112
#Ny21,112
#NC,111
#bordersecurity,111
#Brussels,111
#StopGovtAbuse,111
#betterway,111
#CHA,111
#CARA2,111
#USMCA,110
#USAFreedomAct,110
#InternationalWomensDay,110
#nationalsecurity,110
#UNGA,110
#tngop,110
#WalorskiOfficeHours,110
#tech,109
#SupremeCourt,109
#Jerusalem,109
#LA03,109
#Periscope,108
#Veteran,108
#Erie,108
#Cures,107
#3,107
#TeacherAppreciationWeek,107
#FairTax,107
#GeauxTigers,107
#WNY,107
#KatesLaw,106
#SuperBowl,106
#schoolchoice,106
#Cincinnati,106
#PA12,106
